datetime,temp,dew,humidity,precip,windspeed,windspeedmean,sealevelpressure,cloudcover,solarradiation
2022-01-13,36.8,35.2,93.7,0,6.4,5.2,1041.1,65.8,17.4
2022-01-14,38,33.1,83,0,6.3,3.6,1036,5.1,38.8
2022-01-15,36.7,32.5,85.6,0.006,8.4,3.4,1027.9,20.9,39.2
2022-01-16,35.1,33.4,93.4,0.02,8.3,5.4,1030.3,99.2,18.7
2022-01-17,42.4,39.8,90.3,0,4.8,3.4,1037.5,84.7,20.8
2022-01-18,41.2,37,85.6,0.006,9.5,6.2,1036.5,54.3,40.5
2022-01-19,41.9,38.1,86.2,0.045,8.3,5.6,1028.9,98.7,15.3
2022-01-20,41,35.7,81.7,0.006,11.8,8,1032.8,71.7,44.3
2022-01-21,39.1,33.8,81.4,0,10.8,7.4,1038,82.9,29
2022-01-22,41.4,34.5,76.2,0,8.6,5.2,1037.7,98.8,25.4
2022-01-23,39.4,34.7,83.1,0,8.3,6,1035.4,91.6,13.8
2022-01-24,37.7,32.4,82,0,7.1,4.8,1032.4,0,48.6
2022-01-25,32.4,31.4,96,0,4.4,2.9,1034.1,57.9,30.8
2022-01-26,35.5,32.2,87.8,0,7.3,3.9,1035.5,100,18.7
2022-01-27,40.4,36.6,86.5,0.002,8.7,6.2,1032.7,98.8,26
2022-01-28,44.2,41.4,89.8,0,7.9,4.7,1037,96.8,27.3
2022-01-29,47.3,44.4,89.6,0,10.7,8,1033.7,99.2,19.2
2022-01-30,47,38.5,73,0.001,7.2,4.9,1031.5,74.9,45.8
2022-01-31,44.3,33.2,65.4,0.027,19.8,11.8,1023.8,69.2,45.3
2022-02-01,44.4,40.1,84.8,0.021,13.9,9.3,1025.5,90.7,17.5
2022-02-02,50.2,44.5,80.8,0.001,12.5,7.9,1025.3,98,33.7
2022-02-03,45.8,39.4,78.1,0,10,6.9,1020,98.9,21.3
2022-02-04,45.4,40.7,83.8,0.033,14.6,8.8,1017.2,79.5,37
2022-02-05,42.9,35,74.1,0,11.5,7.3,1025.4,43.8,75.3
2022-02-06,48.3,43.3,83,0.232,18.9,14.4,1017,98.3,17
2022-02-07,45.6,34.9,66.5,0.014,14.1,7.6,1027.6,32.9,70
2022-02-08,47,41.6,81.4,0,8.3,5.3,1032.8,93,24.4
2022-02-09,45,39.1,81.3,0,5.7,3.8,1027.4,23.9,63.9
2022-02-10,45.1,40.5,84,0.037,12.7,7.2,1024.5,98.3,33.1
2022-02-11,41,34,76.9,0,7.9,4.6,1032.7,41.1,71.6
2022-02-12,39.3,28.7,67.6,0,10,5.8,1027.7,53.3,87.3
2022-02-13,44.2,34.2,68.7,0,15,9.6,1012.3,64.9,75
2022-02-14,48.8,41.6,76.7,0.097,17.2,10,1004.7,91.3,44.6
2022-02-15,46,40.9,82.6,0.014,16.2,10.3,1014.7,76.5,53.9
2022-02-16,54.2,50.4,87.5,0.15,16.8,13,1007.7,99.3,30.8
2022-02-17,54.2,41.9,64.2,0.02,17.2,12.3,1014.4,89.8,37.1
2022-02-18,50.9,42.5,74.1,0.077,21.9,14.5,1009.5,93.3,21.4
2022-02-19,44.8,33.6,65.5,0,16,12.5,1018.8,48.9,23.3
2022-02-20,51.4,44.1,76.2,0.008,19,13,1015.9,96.9,22
2022-02-21,47.4,37.6,68.9,0.108,20.4,15,1014.8,90,15.7
2022-02-22,48.3,43.1,82.2,0.012,13.7,9,1024.5,89.3,29.2
2022-02-23,48.3,40.9,77,0,8.5,4.8,1025.8,73.3,22.6
2022-02-24,46.8,38.1,72,0.083,16.5,8.6,1017.9,75.8,30
2022-02-25,43.3,32.7,67.2,0.001,11.6,8,1028.3,25.4,41.8
2022-02-26,42,31.2,67.3,0.006,12.1,7.2,1031.9,5.2,47
2022-02-27,41.3,27.2,58,0,10.1,7.9,1026.9,6.7,48.5
2022-02-28,42.4,26.2,54.6,0,9.5,4.6,1028.4,27.4,45
2022-03-01,46.1,32.1,58.9,0,6.9,4.1,1026.5,94.5,33.4
2022-03-02,47.8,34.1,59.3,0,5.8,3.9,1020.9,94.4,38.3
2022-03-03,49.4,42.7,77.9,0,6.2,3.8,1016.8,94.9,47.2
2022-03-04,49.5,43.9,80.9,0,9.8,4.5,1018.3,93.8,25.8
2022-03-05,47.9,39.8,74.8,0,8.9,5.5,1019.7,74.8,46.3
2022-03-06,41.6,29.2,64.1,0,14.3,9.7,1022.7,30.9,53.2
2022-03-07,38.1,23.3,55.9,0,12.8,9.9,1021.8,5.7,54
2022-03-08,42.6,26.2,53,0,9.8,7,1017.6,4.2,52.3
2022-03-09,48.5,36.6,64.6,0,9.5,6.3,1020.5,54,43.2
2022-03-10,51.4,37.2,59.3,0,10.1,6.9,1019.3,60,55.5
2022-03-11,49.7,42.1,75.6,0.118,12.2,8.5,1011,83.4,20.8
2022-03-12,47.1,42.6,84.3,0.014,13.9,8.6,1014.4,92.1,26.4
2022-03-13,48,41.7,79.1,0.061,12.7,9.3,1011.7,93.3,24.8
2022-03-14,49,39.7,72.7,0,8.6,5.9,1025.1,60.5,59.6
2022-03-15,50.2,46.6,87.9,0.14,7.7,4.6,1022.7,97.6,15.8
2022-03-16,52.2,47.6,84.7,0,12.7,5.5,1020,95,29.9
2022-03-17,47.8,39.7,73.4,0,13.4,10,1030.9,93.7,31.9
2022-03-18,49.3,31.5,54.6,0,17.5,11.4,1037.8,38.1,67.5
2022-03-19,51.5,31.6,47.2,0,13.2,10.7,1032.7,8.8,66
2022-03-20,47.2,28.7,49.8,0,9.4,6.4,1026.9,37.1,63.8
2022-03-21,53.8,40.4,61.9,0,10,5.1,1028.1,39.5,63.8
2022-03-22,55.1,35.1,49.3,0,12.6,7.1,1028.9,17.2,70.1
2022-03-23,54.1,31.5,44.1,0,9.2,4.9,1029.6,11.7,72.9
2022-03-24,57.2,31.7,39.5,0,7,4.5,1027.7,7.8,70.7
2022-03-25,56.9,32.2,40.1,0,12.3,8,1027.6,0,70.6
2022-03-26,56.6,32.6,42.4,0,13.9,8.6,1027.6,0,76.6
2022-03-27,58.3,36.7,46.6,0,8.1,5.8,1027.4,0,78.3
2022-03-28,59,38.5,50.1,0,6.6,3.8,1022.1,67.2,50.3
2022-03-29,57.3,41.3,56.3,0.016,9.4,5.2,1010.1,96.6,32.4
2022-03-30,51.7,46.8,83.7,0.185,10,4.6,1002.9,94.5,30.9
2022-03-31,43.2,36.1,76.5,0.042,19.4,11.7,1001.8,89.6,54.3
2022-04-01,36.1,30.7,80.6,0.067,17.6,14.8,1008.2,97.4,13.2
2022-04-02,39.7,24.6,56,0,20.6,13.7,1017.7,69.3,37.2
2022-04-03,41.5,24,50.9,0,12.3,8.8,1023.7,64.3,50.8
2022-04-04,43.2,30,60.8,0,15.7,8.8,1020,70,33.5
2022-04-05,50.2,45.4,84.1,0.046,9.8,7.7,1013.6,98.9,21.6
2022-04-06,51.1,42.1,71.3,0,15.7,10.1,1007.7,92.6,55.3
2022-04-07,54,44.3,71.3,0.065,20.9,15.4,998,91.1,76.4
2022-04-08,43.3,39,86,1.432,17.9,8.3,1000.4,97.1,16.3
2022-04-09,43.2,35,75.1,0.137,10.2,6.2,1015.6,77.5,64.3
2022-04-10,46.9,33.5,61.9,0,8.3,4.5,1020.6,46.2,79.4
